Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
Diagrama de Flujo de inicio de sesion / registro,SCRUM-39,10081,Task,Done,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,Done,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,14/Apr/25 3:25 PM,14/Apr/25 3:26 PM,,14/Apr/25 3:25 PM,,0,"!image-20250414-182550.png|width=1206,height=294,alt=""image-20250414-182550.png""!",,Sebasti�n Cejas,,,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,,,,,,,,,,,,,,,14/Apr/25 3:26 PM;ed8dd922-c8fa-4fe5-99c8-385a5de32e3e;image-20250414-182550.png;https://turisteando-en-mendoza.atlassian.net/rest/api/3/attachment/content/10033,,,,,,,,,,,,,,,,,0|i0003r:,,,Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_430_*|*_10002_*:*_1_*:*_0,,,10054,📜 Creacion de artefactos y documentacion,Done,14/Apr/25 3:25 PM
"Instalar Git, NPM, Vite locally",SCRUM-38,10080,Task,Done,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,Done,florencia cobos,712020:5e5876e0-69ec-4269-9ed2-5c77f38d407b,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 8:42 PM,13/Apr/25 8:46 PM,13/Apr/25 8:43 PM,13/Apr/25 8:46 PM,,0,"Esta tarea es para todos, pero como flor es la responsable de esta epica de creacion del proyecto, se le asigna a ella. TODOS DEBEN TENER NPM GIT Y GITHUB ACCOUNT para aportar codigo nuevo. sin mencionar las librerias que npm progresivamente irá pidiendo conforme crezca el proyecto.",,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00036:x,,,Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_199278_*|*_10002_*:*_1_*:*_0,,,10077,"Git, Github, Versioning y Prototipado Inicial",Done,13/Apr/25 8:46 PM
Invitar colaboradores Github,SCRUM-37,10079,Task,Done,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,Done,florencia cobos,712020:5e5876e0-69ec-4269-9ed2-5c77f38d407b,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 8:41 PM,13/Apr/25 8:46 PM,13/Apr/25 8:41 PM,13/Apr/25 8:46 PM,,0,"Se requiere que el proyecto de github donde se verá el versioando y seguimiento del proyecto, tenga los colaboradores necesarios para que todos puedan introducir codigo nuevo en el repo remote.",,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00036:y,,,Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_276377_*|*_10002_*:*_1_*:*_0,,,10077,"Git, Github, Versioning y Prototipado Inicial",Done,13/Apr/25 8:46 PM
Iniciar Proyecto con Git,SCRUM-36,10078,Task,Done,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,Done,florencia cobos,712020:5e5876e0-69ec-4269-9ed2-5c77f38d407b,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 8:40 PM,13/Apr/25 8:46 PM,13/Apr/25 8:40 PM,13/Apr/25 8:46 PM,,0,Se requiere inicialmente que algun integrante integre versionado del codigo del proyecto y se conecte con un github remote.,,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i00036:p,,,Sprint 1,,,,,,,,,,,10000_*:*_1_*:*_331981_*|*_10001_*:*_1_*:*_0,,,10077,"Git, Github, Versioning y Prototipado Inicial",Done,13/Apr/25 8:46 PM
"Git, Github, Versioning y Prototipado Inicial",SCRUM-35,10077,Epic,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 8:39 PM,13/Apr/25 8:39 PM,13/Apr/25 8:44 PM,,,0,,,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0003j:,,,,,,,,,,,,,,,,,,,To Do,13/Apr/25 8:39 PM
Autorización (Roles-Permisos),SCRUM-34,10076,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 8:03 PM,15/Apr/25 6:53 PM,13/Apr/25 8:30 PM,,,0,,,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,purple,,,,,0|i0001v:,,,Sprint 3,,,,,,,,,,,,,,10053,👤 Integracion de sistema de usuarios,To Do,13/Apr/25 8:03 PM
Profile View (Diseño),SCRUM-33,10075,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 7:47 PM,15/Apr/25 7:03 PM,13/Apr/25 7:53 PM,,,0,"Definir la vista de *Settings>Profile* de la aplicación. 

La misma debe tener predefinido un alcance, objetivo definidos para que sea mas rapido. 

(Tambien puede tratarse de tanto una pagina completa como un partial, ya sea una seccion o modal)",,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,SCRUM-29,,,,,,,,,,,,,,,,,purple,,,,,0|i00036:i,,,Sprint 1,,,,,,,,,,,,,,10051,🎨 Diseño de vistas,To Do,13/Apr/25 7:47 PM
Map View (Diseño),SCRUM-32,10074,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 7:46 PM,13/Apr/25 8:25 PM,13/Apr/25 7:54 PM,,,0,"Definir la vista de *MAPA* de la aplicación. 

La misma debe tener predefinido un alcance, objetivo definidos para que sea mas rapido. 

----

Esta es la vista mas compleja. definitivamente será una vista completa y no un modal, ya que es donde ocurrirán la mayoría de las acciones del usuario.",,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,SCRUM-29,,,,,,,,,,,,,,,,,purple,,,,,0|i00036:,,,Sprint 1,,,,,,,,,,,,,,10051,🎨 Diseño de vistas,To Do,13/Apr/25 7:46 PM
Register View (Diseño),SCRUM-31,10073,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,,,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 7:46 PM,15/Apr/25 7:03 PM,13/Apr/25 7:51 PM,,,0,"Definir la vista de *Registro* de la aplicación. 

La misma debe tener predefinido un alcance, objetivo definidos para que sea mas rapido. 

(Tambien puede tratarse de tanto una pagina completa como un partial, ya sea una seccion o modal)",,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,SCRUM-29,,,,,,,,,,,,,,,,,purple,,,,,0|i00035:,,,Sprint 1,,,,,,,,,,,,,,10051,🎨 Diseño de vistas,To Do,13/Apr/25 7:46 PM
Login View (Diseño),SCRUM-30,10072,Task,To Do,SCRUM,Turismo en Mendoza,software,Sebasti�n Cejas,712020:4fc00f68-7eec-4a29-a801-219aa96aa54e,,Medium,,Miguel Alvarez,712020:ed10e9de-d6f2-4eb3-95de-41f09a4c85b1,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,Emiliano Las Heras,604a3dea58aa8d00722ac5f8,13/Apr/25 7:45 PM,15/Apr/25 7:02 PM,13/Apr/25 7:48 PM,,,0,"Definir la vista de *Login* de la aplicación. 

La misma debe tener predefinido un alcance, objetivo definidos para que sea mas rapido. 

(Tambien puede tratarse de tanto una pagina completa como un partial, ya sea una seccion o modal)",,Emiliano Las Heras,,,604a3dea58aa8d00722ac5f8,,,,,,,,,,,SCRUM-29,,,,,,,,,,,,,,,,,purple,,,,,0|i00034:,,,Sprint 1,,,,,,,,,,,,,,10051,🎨 Diseño de vistas,To Do,13/Apr/25 7:45 PM
